Date,Price
,2.202
,2.194
,2.211
,2.246
,2.247
,2.311
,2.33
01/04/2021,2.336
,2.403
,2.464
,2.478
